iter	Passed	Remaining
0	6	6462
1	13	6587
2	19	6428
3	27	6735
4	33	6625
5	40	6700
6	46	6627
7	53	6663
8	60	6608
9	65	6516
10	73	6571
11	78	6492
12	85	6473
13	104	7360
14	110	7243
15	116	7174
16	123	7169
17	130	7116
18	138	7176
19	151	7410
20	158	7379
21	164	7298
22	180	7648
23	186	7596
24	192	7514
25	198	7437
26	205	7399
27	226	7877
28	233	7826
29	239	7756
30	245	7665
31	252	7625
32	257	7546
33	262	7469
34	270	7448
35	275	7390
36	282	7351
37	288	7314
38	295	7277
39	302	7264
40	308	7208
41	315	7186
42	321	7150
43	327	7109
44	334	7108
45	340	7065
46	347	7042
47	353	7002
48	358	6959
49	365	6950
50	371	6910
51	377	6887
52	385	6888
53	392	6875
54	400	6884
55	406	6860
56	413	6848
57	420	6824
58	427	6817
59	443	6947
60	450	6928
61	455	6895
62	462	6879
63	467	6843
64	474	6827
65	481	6815
66	487	6790
67	506	6942
68	514	6939
69	520	6916
70	527	6896
71	533	6879
72	539	6849
73	546	6836
74	566	6983
75	571	6953
76	578	6938
77	584	6909
78	597	6963
79	603	6935
80	610	6924
81	615	6895
82	621	6871
83	628	6856
84	633	6823
85	640	6812
86	647	6791
87	653	6767
88	660	6763
89	666	6738
90	673	6723
91	679	6706
92	685	6688
93	691	6668
94	697	6645
95	703	6628
96	709	6603
97	715	6581
98	721	6566
99	736	6630
100	743	6619
101	750	6607
102	756	6588
103	762	6570
104	768	6547
105	773	6521
106	778	6497
107	784	6477
108	790	6457
109	797	6449
110	802	6430
111	808	6409
112	813	6389
113	819	6369
114	824	6347
115	829	6324
116	835	6306
117	841	6288
118	846	6268
119	852	6251
120	857	6232
121	863	6213
122	868	6195
123	874	6181
124	880	6162
125	886	6148
126	891	6128
127	897	6112
128	902	6094
129	908	6077
130	913	6058
131	919	6049
132	925	6030
133	930	6013
134	935	5997
135	941	5980
136	946	5964
137	951	5946
138	957	5932
139	963	5918
140	968	5902
141	973	5884
142	980	5876
143	986	5861
144	991	5845
145	997	5833
146	1002	5819
147	1009	5808
148	1015	5798
149	1026	5815
150	1041	5857
151	1047	5843
152	1053	5830
153	1058	5815
154	1063	5800
155	1069	5786
156	1075	5774
157	1080	5760
158	1086	5747
159	1092	5733
160	1095	5709
161	1100	5693
162	1106	5680
163	1111	5667
164	1117	5654
165	1122	5641
166	1128	5630
167	1134	5619
168	1139	5605
169	1145	5591
170	1150	5577
171	1155	5564
172	1161	5551
173	1166	5537
174	1171	5524
175	1177	5515
176	1184	5506
177	1189	5493
178	1195	5481
179	1200	5468
180	1205	5456
181	1211	5442
182	1216	5430
